Model,ROC-AUC,F1-Score,PR-AUC,Time (seconds)
CatBoost,0.7644323138938093,0.2756552460767398,0.24624820308712983,1400.2035474777222
XGBoost,0.7637302444472148,0.28063900550678805,0.24726825938593694,177.31769061088562
LightGBM,0.7629109835227903,0.27862255464818053,0.24732786647411015,163.91824674606323
HistGradientBoosting,0.7615849810391617,0.27454436127641046,0.2438730235889457,188.960102558136
Logistic Regresion,0.7519321945519515,0.2635450586527522,0.2317417577572345,2750.3184583187103
Random Forest,0.743742597799005,0.26855544050582714,0.2231031666070521,408.0691316127777
